date,wth_stn,count
2012-12-31,CP,288
2012-12-31,FT,50
2012-12-31,LG,144
2013-01-01,CP,238
2013-01-01,FT,32
2013-01-01,LG,111
2013-01-02,CP,283
2013-01-02,FT,61
2013-01-02,LG,136
2013-01-03,CP,340
2013-01-03,FT,44
2013-01-03,LG,165
2013-01-04,CP,302
2013-01-04,FT,59
2013-01-04,LG,144
2013-01-05,CP,223
2013-01-05,FT,43
2013-01-05,LG,123
2013-01-06,CP,231
2013-01-06,FT,44
2013-01-06,LG,118
2013-01-07,CP,327
2013-01-07,FT,47
2013-01-07,LG,147
2013-01-08,CP,315
2013-01-08,FT,56
2013-01-08,LG,142
2013-01-09,CP,284
2013-01-09,FT,62
2013-01-09,LG,141
2013-01-10,CP,350
2013-01-10,FT,53
2013-01-10,LG,152
2013-01-11,CP,423
2013-01-11,FT,81
2013-01-11,LG,156
2013-01-12,CP,275
2013-01-12,FT,51
2013-01-12,LG,149
2013-01-13,CP,232
2013-01-13,FT,43
2013-01-13,LG,98
2013-01-14,CP,343
2013-01-14,FT,54
2013-01-14,LG,145
2013-01-15,CP,322
2013-01-15,FT,57
2013-01-15,LG,137
2013-01-16,CP,328
2013-01-16,FT,76
2013-01-16,LG,174
2013-01-17,CP,310
2013-01-17,FT,57
2013-01-17,LG,124
2013-01-18,CP,363
2013-01-18,FT,62
2013-01-18,LG,136
2013-01-19,CP,299
2013-01-19,FT,56
2013-01-19,LG,129
2013-01-20,CP,236
2013-01-20,FT,46
2013-01-20,LG,111
2013-01-21,CP,236
2013-01-21,FT,39
2013-01-21,LG,80
2013-01-22,CP,360
2013-01-22,FT,62
2013-01-22,LG,122
2013-01-23,CP,354
2013-01-23,FT,46
2013-01-23,LG,145
2013-01-24,CP,339
2013-01-24,FT,58
2013-01-24,LG,157
2013-01-25,CP,395
2013-01-25,FT,76
2013-01-25,LG,203
2013-01-26,CP,342
2013-01-26,FT,64
2013-01-26,LG,152
2013-01-27,CP,265
2013-01-27,FT,45
2013-01-27,LG,119
2013-01-28,CP,328
2013-01-28,FT,52
2013-01-28,LG,127
2013-01-29,CP,337
2013-01-29,FT,61
2013-01-29,LG,144
2013-01-30,CP,307
2013-01-30,FT,59
2013-01-30,LG,131
2013-01-31,CP,382
2013-01-31,FT,63
2013-01-31,LG,147
2013-02-01,CP,372
2013-02-01,FT,66
2013-02-01,LG,136
2013-02-02,CP,311
2013-02-02,FT,54
2013-02-02,LG,169
2013-02-03,CP,252
2013-02-03,FT,51
2013-02-03,LG,142
2013-02-04,CP,323
2013-02-04,FT,53
2013-02-04,LG,177
2013-02-05,CP,354
2013-02-05,FT,66
2013-02-05,LG,146
2013-02-06,CP,372
2013-02-06,FT,53
2013-02-06,LG,141
2013-02-07,CP,312
2013-02-07,FT,61
2013-02-07,LG,153
2013-02-08,CP,396
2013-02-08,FT,64
2013-02-08,LG,243
2013-02-09,CP,237
2013-02-09,FT,41
2013-02-09,LG,125
2013-02-10,CP,251
2013-02-10,FT,43
2013-02-10,LG,106
2013-02-11,CP,294
2013-02-11,FT,56
2013-02-11,LG,125
2013-02-12,CP,297
2013-02-12,FT,61
2013-02-12,LG,140
2013-02-13,CP,367
2013-02-13,FT,71
2013-02-13,LG,132
2013-02-14,CP,402
2013-02-14,FT,65
2013-02-14,LG,164
2013-02-15,CP,365
2013-02-15,FT,71
2013-02-15,LG,168
2013-02-16,CP,267
2013-02-16,FT,46
2013-02-16,LG,136
2013-02-17,CP,285
2013-02-17,FT,32
2013-02-17,LG,130
2013-02-18,CP,260
2013-02-18,FT,39
2013-02-18,LG,99
2013-02-19,CP,302
2013-02-19,FT,39
2013-02-19,LG,136
2013-02-20,CP,327
2013-02-20,FT,46
2013-02-20,LG,137
2013-02-21,CP,329
2013-02-21,FT,47
2013-02-21,LG,122
2013-02-22,CP,344
2013-02-22,FT,48
2013-02-22,LG,139
2013-02-23,CP,318
2013-02-23,FT,50
2013-02-23,LG,153
2013-02-24,CP,279
2013-02-24,FT,36
2013-02-24,LG,111
2013-02-25,CP,300
2013-02-25,FT,54
2013-02-25,LG,136
2013-02-26,CP,356
2013-02-26,FT,44
2013-02-26,LG,137
2013-02-27,CP,367
2013-02-27,FT,51
2013-02-27,LG,132
2013-02-28,CP,320
2013-02-28,FT,56
2013-02-28,LG,141
2013-03-01,CP,379
2013-03-01,FT,61
2013-03-01,LG,163
2013-03-02,CP,313
2013-03-02,FT,47
2013-03-02,LG,114
2013-03-03,CP,319
2013-03-03,FT,50
2013-03-03,LG,133
2013-03-04,CP,393
2013-03-04,FT,60
2013-03-04,LG,144
2013-03-05,CP,322
2013-03-05,FT,63
2013-03-05,LG,142
2013-03-06,CP,291
2013-03-06,FT,45
2013-03-06,LG,139
2013-03-07,CP,341
2013-03-07,FT,48
2013-03-07,LG,146
2013-03-08,CP,439
2013-03-08,FT,110
2013-03-08,LG,302
2013-03-09,CP,349
2013-03-09,FT,48
2013-03-09,LG,172
2013-03-10,CP,256
2013-03-10,FT,43
2013-03-10,LG,116
2013-03-11,CP,303
2013-03-11,FT,55
2013-03-11,LG,164
2013-03-12,CP,362
2013-03-12,FT,44
2013-03-12,LG,141
2013-03-13,CP,386
2013-03-13,FT,77
2013-03-13,LG,173
2013-03-14,CP,354
2013-03-14,FT,48
2013-03-14,LG,155
2013-03-15,CP,382
2013-03-15,FT,55
2013-03-15,LG,170
2013-03-16,CP,301
2013-03-16,FT,57
2013-03-16,LG,163
2013-03-17,CP,261
2013-03-17,FT,34
2013-03-17,LG,131
2013-03-18,CP,386
2013-03-18,FT,56
2013-03-18,LG,181
2013-03-19,CP,323
2013-03-19,FT,66
2013-03-19,LG,170
2013-03-20,CP,324
2013-03-20,FT,62
2013-03-20,LG,154
2013-03-21,CP,326
2013-03-21,FT,47
2013-03-21,LG,135
2013-03-22,CP,359
2013-03-22,FT,78
2013-03-22,LG,167
2013-03-23,CP,289
2013-03-23,FT,52
2013-03-23,LG,147
2013-03-24,CP,278
2013-03-24,FT,56
2013-03-24,LG,117
2013-03-25,CP,317
2013-03-25,FT,57
2013-03-25,LG,124
2013-03-26,CP,262
2013-03-26,FT,52
2013-03-26,LG,111
2013-03-27,CP,261
2013-03-27,FT,42
2013-03-27,LG,138
2013-03-28,CP,336
2013-03-28,FT,61
2013-03-28,LG,152
2013-03-29,CP,316
2013-03-29,FT,67
2013-03-29,LG,137
2013-03-30,CP,293
2013-03-30,FT,55
2013-03-30,LG,165
2013-03-31,CP,242
2013-03-31,FT,50
2013-03-31,LG,134
2013-04-01,CP,286
2013-04-01,FT,51
2013-04-01,LG,142
2013-04-02,CP,267
2013-04-02,FT,48
2013-04-02,LG,122
2013-04-03,CP,350
2013-04-03,FT,55
2013-04-03,LG,127
2013-04-04,CP,339
2013-04-04,FT,66
2013-04-04,LG,161
2013-04-05,CP,359
2013-04-05,FT,60
2013-04-05,LG,163
2013-04-06,CP,330
2013-04-06,FT,61
2013-04-06,LG,140
2013-04-07,CP,273
2013-04-07,FT,53
2013-04-07,LG,125
2013-04-08,CP,360
2013-04-08,FT,72
2013-04-08,LG,150
2013-04-09,CP,387
2013-04-09,FT,71
2013-04-09,LG,155
2013-04-10,CP,375
2013-04-10,FT,74
2013-04-10,LG,131
2013-04-11,CP,314
2013-04-11,FT,63
2013-04-11,LG,140
2013-04-12,CP,403
2013-04-12,FT,70
2013-04-12,LG,176
2013-04-13,CP,338
2013-04-13,FT,71
2013-04-13,LG,146
2013-04-14,CP,301
2013-04-14,FT,34
2013-04-14,LG,137
2013-04-15,CP,375
2013-04-15,FT,61
2013-04-15,LG,167
2013-04-16,CP,345
2013-04-16,FT,59
2013-04-16,LG,160
2013-04-17,CP,330
2013-04-17,FT,61
2013-04-17,LG,144
2013-04-18,CP,350
2013-04-18,FT,70
2013-04-18,LG,133
2013-04-19,CP,370
2013-04-19,FT,49
2013-04-19,LG,151
2013-04-20,CP,314
2013-04-20,FT,60
2013-04-20,LG,158
2013-04-21,CP,283
2013-04-21,FT,59
2013-04-21,LG,129
2013-04-22,CP,356
2013-04-22,FT,64
2013-04-22,LG,145
2013-04-23,CP,305
2013-04-23,FT,52
2013-04-23,LG,156
2013-04-24,CP,385
2013-04-24,FT,67
2013-04-24,LG,146
2013-04-25,CP,365
2013-04-25,FT,61
2013-04-25,LG,157
2013-04-26,CP,414
2013-04-26,FT,83
2013-04-26,LG,178
2013-04-27,CP,327
2013-04-27,FT,57
2013-04-27,LG,133
2013-04-28,CP,275
2013-04-28,FT,54
2013-04-28,LG,111
2013-04-29,CP,348
2013-04-29,FT,74
2013-04-29,LG,176
2013-04-30,CP,389
2013-04-30,FT,56
2013-04-30,LG,131
2013-05-01,CP,368
2013-05-01,FT,62
2013-05-01,LG,146
2013-05-02,CP,367
2013-05-02,FT,55
2013-05-02,LG,163
