date,latitude,longitude,unique_key,cp_sum_sqrd,lg_sum_sqrd,ft_sum_sqrd,minDistance,wth_stn
2014-12-04,,,3130863,,,,0,CP
2014-11-25,,,3126477,,,,0,CP
2014-12-11,,,3135589,,,,0,CP
2014-12-08,,,3133814,,,,0,CP
2014-11-26,,,3127581,,,,0,CP
2014-10-29,,,2815777,,,,0,CP
2014-11-02,,,2817379,,,,0,CP
2014-11-17,,,2865764,,,,0,CP
2014-11-20,,,2827854,,,,0,CP
2014-11-20,,,2827167,,,,0,CP
2014-11-03,,,2818071,,,,0,CP
2014-11-11,,,2822628,,,,0,CP
2014-11-21,,,2828183,,,,0,CP
2014-11-01,,,2818154,,,,0,CP
2014-11-08,,,3035384,,,,0,CP
2014-11-01,,,2822110,,,,0,CP
2014-11-01,,,3097970,,,,0,CP
2014-11-11,,,2822181,,,,0,CP
2014-11-19,,,2826613,,,,0,CP
2014-11-04,,,2819050,,,,0,CP
2014-10-25,,,2914800,,,,0,CP
2014-10-26,,,2814295,,,,0,CP
2014-10-25,,,2914801,,,,0,CP
2014-09-07,,,1020727,,,,0,CP
2014-08-05,,,2934904,,,,0,CP
2014-08-05,,,1003859,,,,0,CP
2014-08-03,,,2934898,,,,0,CP
2014-10-16,,,2809507,,,,0,CP
2014-10-06,,,1034476,,,,0,CP
2014-10-14,,,1954800,,,,0,CP
2019-02-18,,,4083174,,,,0,CP
2019-01-19,,,4058354,,,,0,CP
2019-01-17,,,4056696,,,,0,CP
2019-02-02,,,4073254,,,,0,CP
2019-02-02,,,4073603,,,,0,CP
2019-02-02,,,4073265,,,,0,CP
2019-01-02,,,4060909,,,,0,CP
2019-01-05,,,4062575,,,,0,CP
2018-10-29,,,4010739,,,,0,CP
2018-12-12,,,4043074,,,,0,CP
2018-12-18,,,4047517,,,,0,CP
2018-12-14,,,4044523,,,,0,CP
2018-12-10,,,4047169,,,,0,CP
2018-12-14,,,4045240,,,,0,CP
2018-12-11,,,4042983,,,,0,CP
2018-12-13,,,4044065,,,,0,CP
2018-12-28,,,4054388,,,,0,CP
2018-12-05,,,4046558,,,,0,CP
2018-11-19,,,4029108,,,,0,CP
2018-11-27,,,4048270,,,,0,CP
2018-10-29,,,4010863,,,,0,CP
2018-10-23,,,4006096,,,,0,CP
2018-11-09,,,4018117,,,,0,CP
2018-10-04,,,3994521,,,,0,CP
2018-10-13,,,3999196,,,,0,CP
2018-10-13,,,4000104,,,,0,CP
2018-10-06,,,3996671,,,,0,CP
2018-09-08,,,3976881,,,,0,CP
2018-09-20,,,3985245,,,,0,CP
2018-09-19,,,3984287,,,,0,CP
2018-09-08,,,3978156,,,,0,CP
2018-09-21,,,3986243,,,,0,CP
2018-08-12,,,3960406,,,,0,CP
2018-08-05,,,3965787,,,,0,CP
2018-08-16,,,3962956,,,,0,CP
2014-10-10,,,2914755,,,,0,CP
2014-10-05,,,1034116,,,,0,CP
2014-09-28,,,1031062,,,,0,CP
2014-10-18,,,2928196,,,,0,CP
2014-09-27,,,1031414,,,,0,CP
2014-10-21,,,2812866,,,,0,CP
2014-09-30,,,1032598,,,,0,CP
2014-09-27,,,1029844,,,,0,CP
2014-09-29,,,1032074,,,,0,CP
2014-09-10,,,1021656,,,,0,CP
2014-09-10,,,1022173,,,,0,CP
2014-09-15,,,2968593,,,,0,CP
2014-08-31,,,3024220,,,,0,CP
2014-09-23,,,1031501,,,,0,CP
2014-09-11,,,1023089,,,,0,CP
2014-09-09,,,1021628,,,,0,CP
2014-09-05,,,1019393,,,,0,CP
2014-09-09,,,1021607,,,,0,CP
2014-09-19,,,1027300,,,,0,CP
2014-09-19,,,1026809,,,,0,CP
2014-08-28,,,1015493,,,,0,CP
2014-08-12,,,1007795,,,,0,CP
2014-08-28,,,1014983,,,,0,CP
2014-08-09,,,1006440,,,,0,CP
2014-08-24,,,1013739,,,,0,CP
2014-08-20,,,1011986,,,,0,CP
2014-08-09,,,2984239,,,,0,CP
2014-08-27,,,1015346,,,,0,CP
2014-08-23,,,2914618,,,,0,CP
2014-08-05,,,1004208,,,,0,CP
2014-08-17,,,1012605,,,,0,CP
2014-07-11,,,364026,,,,0,CP
2014-06-23,,,356317,,,,0,CP
2014-05-20,,,338395,,,,0,CP
2014-07-23,,,997690,,,,0,CP
2014-07-14,,,875259,,,,0,CP
2014-07-05,,,930706,,,,0,CP
2014-07-22,,,997341,,,,0,CP
2014-07-27,,,1000053,,,,0,CP
2014-07-19,,,996014,,,,0,CP
2014-07-15,,,554624,,,,0,CP
2014-07-15,,,987882,,,,0,CP
2014-07-25,,,998411,,,,0,CP
2014-07-26,,,999795,,,,0,CP
2014-06-13,,,351382,,,,0,CP
2014-06-27,,,3046626,,,,0,CP
2014-06-07,,,348372,,,,0,CP
2014-06-16,,,352357,,,,0,CP
2014-06-04,,,2927983,,,,0,CP
2014-06-06,,,2934821,,,,0,CP
